"Issue Type","Issue Key","Summary","Description","Status","Priority","Labels","Epic Link","Epic Name","Created","Resolved"
"Task","SAR-138","Отправить накопленные коммиты в репозиторий","Более 60 коммитов не отправлено. Локальный репозиторий -- единственный носитель этой работы.","To Do","Highest","риск","SAR-10","","2026-08-15",""
"Task","SAR-139","Перенос платформы на арендованный сервер","Мерка сделана: средний битрейт лёгкой копии 3,45 Мбит/с, на 10 зрителей 34 Мбит/с и до 159 на пике; недельная операция примерно 870 ГБ трафика. Узкое место -- канал, не процессор.","To Do","Medium","инфраструктура","SAR-10","","2026-08-15",""
"Task","SAR-140","Пакет документов для руководства ПСР","Справка о применении, приложение с показателями, благодарственное письмо, согласие на упоминание. В текстах НЕ утверждается, что система привела к обнаружению: подтверждения этому в данных нет.","Done","High","документы","SAR-11","","2026-08-15",""
"Task","SAR-141","Приложение со статистикой и снимками экрана","Сухие проверяемые цифры: 58 материалов, 1 час 38 минут съёмки, 82 процента просмотрено людьми, 29 участников, 58 находок.","Done","Medium","документы","SAR-11","","2026-08-15",""
"Task","SAR-142","Сопроводительное письмо руководству ПСР","Отправлено 9 сентября 2026, получено подтверждение о рассмотрении.","Done","High","документы","SAR-11","","2026-08-15",""
"Task","SAR-143","Инструкция администратора по облаку","","Done","Medium","документы облако","SAR-11","","2026-08-15",""
"Task","SAR-144","Проектное решение по эпику облака","","Done","Medium","документы облако","SAR-11","","2026-08-15",""
"Task","SAR-145","Гид волонтёра: методика отсмотра","Методика перед описанием интерфейса, а не после.","Done","High","документы","SAR-11","","2026-08-15","2026-08-17"
"Task","SAR-146","Обращение в МЧС и Министерство туризма","","To Do","High","документы продвижение","SAR-11","","2026-08-15",""
"Task","SAR-147","Решение о переименовании проекта","Название нейрогенерированное. Отложено до подписания документов: менять имя в процессе согласования нельзя.","To Do","Low","продвижение решение","SAR-11","","2026-08-15",""
